en,es,fr,pt,de,ja,gap_score,cluster_id,is_representative,translatability
best,mejores,meilleur,melhores,beste,ベスト,0.03940606117248535,-1,True,universal
beautiful,hermoso,magnifique,bonito,schöne,美しい,0.03968941420316696,-1,True,universal
response,respuesta,réponse,resposta,antworten,答え,0.03988289088010788,-1,True,universal
organization,organización,organisation,organização,organisation,組織,0.040579602122306824,-1,True,universal
politics,política,politique,política,politik,政治,0.04062485694885254,-1,True,universal
development,desarrollo,développement,desenvolvimento,entwicklung,開発,0.040970563888549805,-1,True,universal
beginning,comienzo,début,início,start,始まり,0.04114677384495735,63,True,universal
picture,imagen,image,imagem,bild,画像,0.041516900062561035,17,True,universal
systems,sistemas,systèmes,sistemas,system,システム,0.0417008213698864,-1,True,universal
message,mensaje,message,mensagem,bericht,メッセージ,0.04179698973894119,-1,True,universal
thank,gracias,merci,obrigado,danke,ありがとう,0.04190681129693985,-1,True,universal
inside,dentro,dedans,dentro,innerhalb,内,0.04202575609087944,-1,True,universal
directly,directamente,directement,diretamente,direkt,直接,0.04214789718389511,-1,True,universal
here's,aqui,hier,aqui,hier,ここ,0.04228825494647026,-1,True,universal
type,tipo,type,tipo,typ,タイプ,0.04244296997785568,-1,True,universal
contact,contacto,contact,contato,kontakt,連絡,0.04302627220749855,-1,True,universal
question,pregunta,question,pergunta,frage,質問,0.043248552829027176,-1,True,universal
title,título,titre,título,titel,タイトル,0.043256726115942,-1,True,universal
chance,oportunidad,chance,chance,chance,チャンス,0.043393366038799286,-1,True,universal
treatment,tratamiento,traitement,tratamento,behandlung,治療,0.04371260479092598,-1,True,universal
school,escuela,école,escola,schule,学校,0.04372145235538483,-1,True,universal
original,original,origine,original,original,オリジナル,0.04384120926260948,-1,True,universal
travel,viaje,voyage,viagem,reise,旅行,0.04396514594554901,-1,True,universal
tomorrow,mañana,demain,amanhã,morgen,明日,0.044058796018362045,-1,True,universal
good,buena,bon,bons,gute,良い,0.04406660795211792,-1,True,universal
decision,decisión,décision,decisão,entscheidung,決定,0.04416491836309433,-1,True,universal
immediately,inmediatamente,immédiatement,imediatamente,sofort,すぐ,0.0445367693901062,-1,True,universal
green,verde,vert,verde,grüne,緑,0.044924844056367874,-1,True,universal
science,ciencia,science,ciência,wissenschaft,科学,0.04521514102816582,-1,True,universal
example,ejemplo,exemple,exemplo,beispiel,例,0.04529973492026329,-1,True,universal
movie,película,film,filme,filme,映画,0.04602935165166855,-1,True,universal
exactly,exactamente,exactement,exatamente,genau,まさに,0.046058639883995056,-1,True,universal
also,tambien,aussi,também,also,も,0.0461195707321167,-1,True,universal
film,película,film,filme,film,映画,0.04626786708831787,-1,True,universal
outside,fuera,dehors,fora,ausserhalb,外,0.046357374638319016,-1,True,universal
last,último,dernier,último,letzten,最後,0.046863652765750885,-1,True,universal
finally,finalmente,finalement,finalmente,endlich,やっと,0.04704570025205612,-1,True,universal
well,bien,bien,bem,gute,良く,0.0479687862098217,-1,True,universal
pretty,hermoso,beaux,bonito,schön,美しい,0.04851563274860382,-1,True,universal
five,cinco,cinq,cinco,fünf,五,0.04869041219353676,-1,True,universal
listen,escuchar,écoute,ouvir,hören,聞き,0.04918951913714409,-1,True,universal
management,gestión,gestion,gestão,verwaltung,管理,0.04934433475136757,-1,True,universal
trip,viaje,voyage,viagem,reise,旅行,0.049402687698602676,-1,True,universal
point,punto,point,ponto,punkt,ポイント,0.04992321878671646,-1,True,universal
seconds,segundos,secondes,segundos,sekunden,秒,0.05005958303809166,-1,True,universal
difference,diferencia,différence,diferença,unterschied,違い,0.05017257109284401,-1,True,universal
industry,industria,industrie,indústria,industrie,業界,0.05036116763949394,-1,True,universal
media,media,médias,média,medien,メディア,0.05040387436747551,-1,True,universal
services,servicios,services,serviços,dienst,サービス,0.05041932314634323,-1,True,universal
john,john,john,john,john,ジョン,0.05053160712122917,6,True,universal
natural,natural,naturel,natural,natur,自然,0.050891678780317307,-1,True,universal
glad,feliz,heureux,feliz,froh,幸せ,0.051572225987911224,-1,True,universal
models,modelo,modèle,modelo,modell,モデル,0.05162949115037918,-1,True,universal
certainly,seguramente,certainement,certamente,sicherlich,もちろん,0.051631055772304535,-1,True,universal
english,inglés,anglais,inglês,englisch,英語,0.05173347145318985,8,True,universal
version,versión,version,versão,version,版,0.05176346376538277,-1,True,universal
interest,interés,intérêt,interesse,interesse,興味,0.051870428025722504,-1,True,universal
want,querer,vouloir,querer,wollen,たい,0.05279868096113205,39,True,universal
found,encontrado,trouvé,encontrado,gefunden,発見,0.052800312638282776,-1,True,universal
questions,preguntas,questions,perguntas,fragen,質問,0.053121861070394516,-1,True,universal
color,color,couleur,cor,farbe,カラー,0.05320686101913452,-1,True,universal
help,ayuda,aide,ajuda,helfen,助け,0.05326960235834122,2,True,universal
too,tambien,aussi,também,also,も,0.0532894991338253,-1,True,universal
thought,pensamiento,pensée,pensamento,denke,考え,0.053352631628513336,31,True,universal
selling,sale,vente,venda,verkaufen,販売,0.053441260010004044,13,True,universal
long,larga,long,longo,lange,長い,0.0534529909491539,-1,True,universal
currently,actualmente,actuellement,atualmente,derzeit,いま,0.05351714789867401,-1,True,universal
super,super,super,super,super,超,0.05353057384490967,-1,True,universal
y,y,y,y,u,y,0.05371159315109253,-1,True,universal
three,tres,trois,três,drei,三,0.053961943835020065,-1,True,universal
others,otros,autres,outros,anderen,他人,0.05402321368455887,-1,True,universal
strong,fuertes,forte,fortes,starke,強い,0.05499452352523804,35,True,universal
lines,líneas,lignes,linhas,linie,line,0.055425796657800674,-1,True,universal
today,hoy,aujourd'hui,hoje,heute,今日,0.0554838627576828,-1,True,universal
army,ejército,armée,exército,armee,軍,0.05572210252285004,-1,True,universal
comments,comentarios,commentaires,comentários,kommentar,コメント,0.05583838000893593,-1,True,universal
each,cada,chaque,cada,jedes,それぞれ,0.05658375471830368,-1,True,universal
yet,todavía,encore,ainda,noch,まだ,0.05661233887076378,-1,True,universal
we,nosotros,us,nós,wir,我々,0.05667128786444664,28,True,universal
star,estrella,star,estrela,star,星,0.05700217932462692,-1,True,universal
though,aunque,pourtant,apesar,obwohl,ただし,0.05721104517579079,49,True,universal
park,parque,parc,parque,park,公園,0.057480309158563614,-1,True,universal
quick,rápido,rapide,rápido,schnell,早い,0.05761505290865898,-1,True,universal
search,busca,recherche,busca,suchen,検索,0.05782168358564377,-1,True,universal
much,mucho,beaucoup,muito,viel,たくさん,0.05812779441475868,57,True,universal
something,algo,quelque,algo,etwas,なんか,0.058572687208652496,-1,True,universal
direct,directa,direct,direto,direkt,直接,0.058725226670503616,-1,True,universal
professor,profesor,professeur,professor,professor,教授,0.05895892530679703,-1,True,universal
feeling,sensación,sentiment,sentimento,gefühl,感じ,0.05922476947307587,32,True,universal
living,vive,vivant,live,live,生き,0.05929073318839073,10,True,universal
remember,recuerda,rappeler,lembrar,erinnern,覚え,0.059621166437864304,-1,True,universal
against,contra,contre,contra,gegen,対,0.059707846492528915,-1,True,universal
car,coche,car,carro,wagen,車,0.059862617403268814,-1,True,universal
member,miembro,membre,membro,mitglied,メンバー,0.05994758382439613,-1,True,universal
movies,películas,films,filmes,filme,映画,0.06001630052924156,-1,True,universal
page,página,page,página,seite,ページ,0.06016618013381958,-1,True,universal
groups,grupos,groupes,grupos,gruppe,グループ,0.06016876921057701,-1,True,universal
eventually,finalmente,finalement,finalmente,endlich,やっと,0.06080012023448944,-1,True,universal
else,otra,autre,outra,anderes,その他,0.06083220615983009,-1,True,universal
battle,batalla,bataille,batalha,war,戦い,0.06090383604168892,-1,True,universal
coffee,café,café,café,kaffee,コーヒー,0.06125925853848457,-1,True,universal
part,parte,part,parte,teil,部分,0.061775900423526764,51,True,universal
policy,política,politique,política,politik,政策,0.06179482489824295,-1,True,universal
text,texto,texte,texto,text,文字,0.06191660091280937,-1,True,universal
function,función,fonction,função,funktion,機能,0.06229175627231598,-1,True,universal
better,mejor,mieux,melhor,besser,ベスト,0.06271985918283463,-1,True,universal
political,político,politique,político,politische,政治,0.0629783496260643,-1,True,universal
responsibility,responsabilidad,responsabilité,responsabilidade,verantwortung,責任,0.06313127279281616,-1,True,universal
bank,banco,banque,banco,bank,銀行,0.06318677216768265,-1,True,universal
still,aún,encore,ainda,noch,まだ,0.06319134682416916,-1,True,universal
sorry,perdón,désolé,desculpa,sorry,申し訳,0.06328891962766647,-1,True,universal
cultural,cultural,culture,cultural,kultur,文化,0.06338627636432648,-1,True,universal
another,otro,autre,outro,anderer,その他,0.06359276920557022,-1,True,universal
team,equipo,équipe,equipa,team,チーム,0.06378860771656036,-1,True,universal
definitely,seguramente,certainement,certamente,sicherlich,確実,0.06405986100435257,-1,True,universal
product,producto,produit,produto,produkte,製品,0.06414031982421875,-1,True,universal
attempt,intentar,essayer,tentar,versuchen,試し,0.0642378106713295,20,True,universal
includes,incluye,comprend,inclui,enthält,含む,0.06423985213041306,-1,True,universal
same,mismas,pareil,mesma,gleiche,同じ,0.06426389515399933,-1,True,universal
girls,chicas,filles,meninas,mädchen,女の子,0.06428222358226776,-1,True,universal
sexual,sexual,sexe,sexual,sex,セックス,0.06471767276525497,-1,True,universal
between,entre,entre,entre,zwischen,間,0.06484678387641907,-1,True,universal
fighting,lucha,combat,combate,kämpfen,戦い,0.06504315137863159,-1,True,universal
written,escrito,écrit,escrito,geschrieben,書き,0.06505871564149857,-1,True,universal
data,datos,données,data,daten,データ,0.06521740555763245,-1,True,universal
fight,luchar,combat,lutar,kämpfen,戦い,0.06528352946043015,-1,True,universal
significant,importante,importante,importante,wesentlich,重要,0.06561730057001114,-1,True,universal
freedom,libertad,liberté,liberdade,freiheit,自由,0.06561954319477081,-1,True,universal
understanding,entender,comprendre,entender,verstehen,理解,0.065777987241745,-1,True,universal
stories,historias,histoires,histórias,geschichten,物語,0.06582548469305038,-1,True,universal
fast,rápido,rapide,rápido,fast,早い,0.06596644222736359,-1,True,universal
nice,bonito,nice,bonito,schön,素敵,0.06623747944831848,-1,True,universal
quite,bastante,assez,bastante,ziemlich,かなり,0.06626325100660324,-1,True,universal
writing,escribir,écrire,escrita,schreiben,書き,0.06639781594276428,-1,True,universal
results,resultados,résultats,resultados,ergebnisse,結果,0.06642353534698486,-1,True,universal
ii,ii,ii,ii,ii,二,0.06673073768615723,-1,True,universal
lovely,lindo,magnifique,lindo,schönen,素敵,0.06684865802526474,-1,True,universal
house,casa,maison,casa,zuhause,家,0.06690005958080292,-1,True,universal
ex,ex,ex,ex,ex,昔,0.06700953096151352,-1,True,universal
society,sociedad,société,sociedade,gesellschaft,社会,0.0671946182847023,25,True,universal
quickly,rápidamente,rapidement,rapidamente,schnell,早く,0.06724993139505386,-1,True,universal
programs,programas,programme,programas,programm,プログラム,0.06731007993221283,-1,True,universal
years,años,années,anos,jahren,年,0.06745902448892593,-1,True,universal
members,miembros,membres,membros,mitglieder,メンバー,0.06775989383459091,-1,True,universal
woman,mujer,femme,mulher,frau,女子,0.06801971793174744,56,True,universal
why,porque,pourquoi,porque,warum,なぜ,0.06818407028913498,-1,True,universal
history,historia,historique,história,geschichte,歴史,0.06852946430444717,-1,True,universal
which,cuál,laquelle,que,welches,どの,0.06853663176298141,84,True,universal
light,luz,lumière,luz,licht,光,0.0685667097568512,-1,True,universal
majority,mayoría,majorité,maioria,meisten,多数,0.06882316619157791,-1,True,universal
china,china,chine,china,china,中国,0.06896433979272842,-1,True,universal
band,banda,bande,banda,band,バンド,0.06918207556009293,-1,True,universal
year,año,année,anos,jährige,年,0.0693504810333252,-1,True,universal
fifth,cinco,cinq,cinco,fünf,五,0.06942294538021088,-1,True,universal
generation,generación,génération,geração,generation,世代,0.06950555741786957,-1,True,universal
where,donde,où,onde,kam,どこ,0.0697794109582901,-1,True,universal
heart,corazón,cœur,coração,hart,心,0.06991413235664368,-1,True,universal
rights,derechos,droits,direitos,rechten,権利,0.07024284452199936,-1,True,universal
healthy,salud,santé,saúde,gesundheit,健康,0.07025289535522461,-1,True,universal
leave,dejar,quitte,deixar,verlassen,離れ,0.07034456729888916,-1,True,universal
friends,amigos,amis,amigos,freunden,友人,0.0707087516784668,-1,True,universal
high,alta,élevé,alta,hohe,高い,0.07139943540096283,-1,True,universal
land,tierra,terre,terra,land,土地,0.07153024524450302,-1,True,universal
produce,produce,produire,produção,produktion,生産,0.07166720926761627,-1,True,universal
world,mundo,monde,world,weltweit,世界,0.07232645153999329,-1,True,universal
size,tamaño,taille,tamanho,grösser,サイズ,0.072475865483284,-1,True,universal
among,entre,entre,entre,zwischen,間,0.0725845992565155,-1,True,universal
risk,riesgo,risque,risco,risiko,危険,0.07300267368555069,-1,True,universal
water,agua,eau,água,wetter,水,0.07313482463359833,-1,True,universal
third,tercer,troisième,terceiro,dritte,三,0.07337842136621475,-1,True,universal
influence,influencia,influence,influência,einfluss,影響,0.07372473180294037,-1,True,universal
al,al,al,al,al,to,0.07379384338855743,-1,True,universal
projects,proyectos,projets,projetos,projekt,プロジェクト,0.07387439906597137,-1,True,universal
enough,suficiente,suffit,suficiente,genug,足り,0.07409866899251938,-1,True,universal
sister,hermana,sœur,irmã,tochter,姉,0.07450887560844421,-1,True,universal
fine,bien,bien,bem,gute,いい,0.07477451860904694,-1,True,universal
types,tipos,types,tipos,tür,タイプ,0.07501306384801865,-1,True,universal
hearing,escuchar,écoute,ouvir,hören,聞き,0.07502741366624832,-1,True,universal
post,post,post,post,post,投稿,0.07582791894674301,-1,True,universal
study,estudiar,étude,estudo,studium,勉強,0.07639806717634201,24,True,universal
protection,protección,protection,proteção,schützen,保護,0.0764273852109909,-1,True,universal
administration,administración,administration,administração,verwaltung,管理,0.07651592791080475,-1,True,universal
action,acción,action,ação,aktion,行為,0.07671688497066498,41,True,universal
eat,comer,manger,comer,essen,食べ,0.07689008861780167,-1,True,universal
k,k,qu,k,k,k,0.07694947719573975,-1,True,universal
particular,particular,spécial,particular,besondere,特定,0.0770120844244957,-1,True,universal
stars,estrellas,star,estrelas,stelle,星,0.07730843126773834,-1,True,universal
reaction,respuesta,réaction,reação,reaktion,反応,0.07785084843635559,-1,True,universal
government,gobierno,gouvernement,governo,regierung,政府,0.07824596017599106,-1,True,universal
since,desde,depuis,desde,seit,以来,0.07845930755138397,-1,True,universal
police,policía,police,polícia,polizei,警察,0.07857607305049896,-1,True,universal
article,artículo,article,artigo,artikel,記事,0.0788203552365303,-1,True,universal
responsible,responsable,responsable,responsável,verantwortlich,責任,0.079306960105896,-1,True,universal
course,curso,course,curso,kurs,コース,0.07949157059192657,-1,True,universal
environment,ambiente,environnement,ambiente,umgebung,環境,0.07954543083906174,-1,True,universal
u.s,u,u,u,u,u,0.07976841926574707,-1,True,universal
simply,simplemente,simplement,simplesmente,einfach,ただ,0.07979011535644531,67,True,universal
called,llamado,appelé,chamado,genannt,呼ば,0.07989788055419922,14,True,universal
some,algunas,certains,algumas,einige,なんか,0.08035645633935928,-1,True,universal
subject,tema,sujet,assunto,thema,テーマ,0.08080847561359406,-1,True,universal
during,durante,durant,durante,während,頃,0.08090390264987946,-1,True,universal
youth,juventud,jeunesse,jovens,junge,若い,0.08093633502721786,-1,True,universal
city,ciudad,villes,cidade,grad,城,0.0815485343337059,-1,True,universal
points,puntos,points,pontos,punkte,ポイント,0.08155107498168945,-1,True,universal
event,evento,événement,evento,gelegenheit,イベント,0.08177307993173599,-1,True,universal
vs,contra,contre,contra,gegen,vs,0.08199804276227951,-1,True,universal
home,casa,maison,casa,zuhause,家,0.08210813254117966,-1,True,universal
schools,escuelas,écoles,escolas,schule,学校,0.08269151300191879,-1,True,universal
ground,tierra,terre,terra,land,土地,0.08269993960857391,-1,True,universal
economy,economía,économie,economia,wirtschaft,経済,0.08278806507587433,-1,True,universal
protect,protección,protéger,proteger,schützen,守る,0.08279719948768616,-1,True,universal
wrote,escribió,écrit,escreveu,schrieb,書く,0.08302531391382217,-1,True,universal
military,militar,militaire,militar,armee,軍,0.08354947715997696,-1,True,universal
decisions,decisiones,décision,decisão,entscheidung,決定,0.08356022834777832,-1,True,universal
town,ciudad,cité,cidade,grad,城,0.08362903445959091,-1,True,universal
attack,ataque,attaque,ataque,angriff,攻撃,0.08393760770559311,-1,True,universal
memory,memoria,mémoire,memória,erinnerung,記憶,0.08454275131225586,-1,True,universal
by,por,par,by,by,by,0.0851859599351883,-1,True,universal
public,pública,public,pública,öffentliche,公開,0.08533361554145813,-1,True,universal
decided,decidió,décidé,decidiu,entschieden,決定,0.08545699715614319,-1,True,universal
russian,rusia,russe,russo,russischen,ロシア,0.08549131453037262,-1,True,universal
area,área,région,área,gebiet,地域,0.08551006764173508,42,True,universal
available,disponible,disponible,disponível,vorhanden,使える,0.08611742407083511,-1,True,universal
card,tarjeta,carte,cartão,karte,カード,0.08627023547887802,-1,True,universal
dr,dr,dr,dr,dr,博士,0.08726813644170761,-1,True,universal
cars,coche,voitures,carros,autos,車,0.08750709146261215,-1,True,universal
cities,ciudades,villes,cidades,stadt,都市,0.08771327137947083,-1,True,universal
doing,haciendo,faisant,fazendo,machen,やり,0.08810105174779892,74,True,universal
language,lenguaje,langue,língua,sprache,語,0.08832956850528717,-1,True,universal
news,noticias,nouvelles,notícias,nachrichten,ニュース,0.08855463564395905,-1,True,universal
place,lugar,place,lugar,position,場所,0.08874987065792084,70,True,universal
attention,atención,attention,atenção,aufmerksamkeit,注目,0.08885364979505539,-1,True,universal
most,mayoría,plupart,maioria,meisten,最も,0.08902499824762344,-1,True,universal
never,nunca,jamais,jamais,niemals,まさか,0.0891648530960083,-1,True,universal
nothing,nada,rien,nada,nichts,無し,0.08923505246639252,-1,True,universal
effect,efecto,effet,efeito,wirkt,効果,0.08948032557964325,-1,True,universal
eating,comer,manger,comer,essen,食べ,0.08964061737060547,-1,True,universal
peace,paz,paix,paz,mir,平和,0.08972730487585068,-1,True,universal
player,jugador,joueur,jogador,spieler,選手,0.08974425494670868,-1,True,universal
clearly,claramente,clairement,claro,deutlich,明らか,0.08977320790290833,-1,True,universal
latest,últimas,dernières,últimas,letzte,最新,0.09018836170434952,-1,True,universal
out,fuera,dehors,fora,heraus,出,0.09019044041633606,-1,True,universal
face,frente,face,face,gesicht,顔,0.09047479182481766,-1,True,universal
mark,marca,marque,marca,mark,マーク,0.09064558148384094,-1,True,universal
seat,sede,siège,sede,sitzen,席,0.0906805545091629,-1,True,universal
fire,fuego,feu,fogo,feuer,火,0.09123393893241882,-1,True,universal
getting,obtener,obtenir,obter,erhält,受ける,0.09165900200605392,54,True,universal
technology,tecnología,technique,tecnologia,technik,技術,0.09197936207056046,-1,True,universal
doesn't,no,dont,nem,nicht,ない,0.09215486794710159,90,True,universal
solution,solución,solution,solução,lösung,解決,0.09249924123287201,-1,True,universal
spot,punto,point,ponto,punkten,ポイント,0.09256897121667862,-1,True,universal
has,has,possède,têm,haben,いる,0.0930323526263237,81,True,universal
finding,encuentra,trouver,encontrar,find,発見,0.09306120872497559,-1,True,universal
perfect,perfecto,parfait,perfeito,perfekt,完全,0.09307697415351868,-1,True,universal
prior,anterior,avant,anterior,vorher,前,0.09309586137533188,61,True,universal
result,resultado,résultat,resultado,ergebnisse,結果,0.09318702667951584,-1,True,universal
decide,decisión,décision,decisão,entscheiden,決め,0.09425770491361618,-1,True,universal
daily,diario,quotidien,diário,täglich,毎日,0.094271220266819,-1,True,universal
teacher,profesor,professeur,professora,professor,師,0.09444735944271088,-1,True,universal
included,incluye,compris,inclui,enthalten,含め,0.09450694918632507,-1,True,universal
include,incluyendo,comprend,inclui,enthalten,含む,0.09464983642101288,-1,True,universal
knowing,conoce,savoir,conhece,kennt,知り,0.09490630030632019,33,True,universal
forget,recordar,oublie,esquecer,vergessen,忘れ,0.09491108357906342,-1,True,universal
earth,tierra,terre,terra,land,地球,0.09526161849498749,-1,True,universal
forever,siempre,toujours,sempre,immer,ずっと,0.09562508761882782,-1,True,universal
fear,miedo,peur,medo,gefahr,怖い,0.09563945978879929,-1,True,universal
treat,tratar,traitement,tratar,behandlung,治療,0.09579669684171677,-1,True,universal
office,oficina,bureau,escritório,büro,事務所,0.09609491378068924,-1,True,universal
unique,única,unique,única,einzige,唯一,0.0964813381433487,-1,True,universal
certain,cierta,certain,certa,bestimmt,確実,0.09653518348932266,-1,True,universal
sure,seguramente,sûr,certamente,sicherlich,確実,0.09778182953596115,-1,True,universal
economic,económica,économique,econômica,wirtschaft,経済,0.09800659120082855,-1,True,universal
van,van,van,of,van,av,0.09807148575782776,-1,True,universal
